meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
2863.422019657269,0.009484921,0.0,5200.414628275643,5030.61230232266,-169.80232595298276,22.965192700403893,17.81007130730664,5.459449,0.22335699,-337.61453,2863.422019657269,58.527596,0.0,233.08188075904494,11.993488,121.34967043801211,233.08188075904494,111.73221032103282,-5.9159193,0
2465.7153559933427,0.01090452,0.0,3958.349228062174,2535.2825475071613,-1423.0666805550127,23.658414536358492,18.822106271564166,4.950406,0.19009447,-369.43445,2465.7153559933427,65.241844,0.0,234.43211035826653,9.813142,107.48759652776705,234.43211035826653,126.94451383049947,-7.138157,0
2673.1073317017103,0.011785909,0.0,5169.408517981479,5272.580609906179,103.1720919247,23.6814265923598,18.711703952909,5.1382194,0.20332834,-353.99734,2673.1073317017103,63.604084,0.0,225.1422562392905,9.153208,132.33275396903284,225.1422562392905,92.80950227025767,-7.6755843,0
2975.710124896503,0.018209118,0.0,3760.5919198015936,3960.9442372574463,200.3523174558527,23.7103189232237,18.17015371002887,5.808407,0.19901133,-299.96405,2975.710124896503,51.929287,0.0,237.15608026942812,10.9352,151.1349012203898,237.15608026942812,86.02117904903832,-1.7877614,0
2897.74191968864,0.017069211,-3.3805597e-14,4830.861642775377,4829.571079363324,-1.2905634120525065,24.609749385523372,18.568248698588445,5.8370967,0.15092614,-398.37225,2897.74191968864,58.14005,0.0,233.08188075904494,12.773671,158.2826938011902,233.08188075904494,74.79918695785474,-3.2156782,0
3163.8704987858923,0.016333548,0.0,4911.806469090246,4351.054371104172,-560.7520979860737,22.750804502251942,17.71078024916318,6.1220026,0.19862746,-306.32385,3163.8704987858923,45.829784,0.0,231.73942791006385,11.711704,141.01384901128017,231.73942791006385,90.72557889878368,-2.475095,0
2801.809358055948,0.020658536,0.0,2897.409229342984,3049.1742813512824,151.76505200829843,24.910525267293657,17.240182606832548,5.552645,0.14975467,-329.44745,2801.809358055948,49.191837,0.0,227.75828324510303,6.7159715,153.77669275969214,227.75828324510303,73.98159048541089,-3.5120862,0
2744.9337180939538,0.035649043,5.7125816e-15,3422.1832025166723,3271.059909802153,-151.12329271451927,23.4266759499745,18.601443735670163,5.7221365,0.120731175,-258.52228,2744.9337180939538,45.72871,0.0,234.43211035826653,8.540957,151.1349012203898,234.43211035826653,83.29720913787673,-2.3764856,0
2809.1870160002118,0.02839764,-3.1077467e-15,3110.0994680282256,3008.706398446928,-101.39306958129782,25.499412497546473,19.56814136486759,5.6640234,0.13741004,-322.66492,2809.1870160002118,46.202354,0.0,231.73942791006385,10.266398,99.13755088719131,231.73942791006385,132.60187702287254,-2.7887506,0
2752.6296237259216,0.032429203,-1.4594849e-14,3276.1686178446153,3251.8724889702153,-24.296128874399983,26.035602360050895,19.08932707334057,5.622967,0.11981461,-310.10284,2752.6296237259216,44.221947,0.0,242.6993408760242,9.087062,150.26442824298348,242.6993408760242,92.43491263304071,-2.3219783,0
2977.3353140970707,0.012441083,0.0,5272.240956871944,5505.80510685738,233.56414998543642,23.263492819407553,16.958037028733294,5.7208166,0.25790435,-323.28085,2977.3353140970707,51.974358,0.0,221.27444703492776,11.776335,141.8307339283537,221.27444703492776,79.44371310657405,-3.04526,0
2726.9074874606986,0.02987001,-5.002458e-16,5270.294679533074,5271.574493281439,1.2798137483650862,25.366478227554353,18.77252414292659,5.5006313,0.11309034,-345.95508,2726.9074874606986,49.35556,0.0,254.17759331190004,8.363603,111.9227661312955,254.17759331190004,142.25482718060454,-3.39636,0
2704.6433285256903,0.010850433,0.0,5044.335545214466,4480.780722302283,-563.5548229121832,23.427835797684242,17.86031292821062,5.3780427,0.18941338,-363.62656,2704.6433285256903,62.727695,0.0,222.55627686642293,10.597299,133.87038650376502,222.55627686642293,88.68589036265791,-5.0819416,0
2891.8551924309636,0.01030013,0.0,4799.972894713514,4837.768856949724,37.79596223621047,24.023364439298465,18.232647446657154,5.653318,0.22051805,-310.98163,2891.8551924309636,57.852943,0.0,211.28204791122093,12.144346,148.5384940785009,211.28204791122093,62.74355383272004,-3.6101913,0
2581.925544350858,0.008395142,-1.2188394e-14,4666.9969085257035,5079.064397817099,412.06748929139576,23.20984722090437,18.890391714138506,5.2323337,0.15439546,-381.1489,2581.925544350858,62.804283,0.0,212.505992363466,12.410637,105.03257643014581,212.505992363466,107.47341593332018,-5.5130205,0
2927.436231118205,0.013145121,0.0,4281.396876895035,4677.862514350517,396.46563745548156,23.527167796450097,17.465066459521992,5.8148103,0.22989622,-299.87436,2927.436231118205,54.642906,0.0,212.505992363466,10.267271,135.4258854679408,212.505992363466,77.0801068955252,-4.2427435,0
2821.1769580821338,0.017361987,-2.220545e-14,3489.485979098576,4084.6588749940956,595.1728958955196,23.02737268930601,16.79087681401448,5.7677855,0.16231129,-320.5854,2821.1769580821338,55.325603,0.0,245.51937137864914,8.556832,152.01041679645533,245.51937137864914,93.50895458219381,-2.4591088,0
2871.828600037891,0.014576516,-5.565684e-14,5214.084904692394,5268.964726010623,54.879821318229006,24.041574458794567,17.794279050123517,5.7552443,0.16322777,-357.61246,2871.828600037891,51.303246,0.0,270.8517709358815,10.219901,153.77669275969214,270.8517709358815,117.07507817618938,-4.908561,0
