meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
1788.86499161214,0.03595691,6.9765574e-06,2607.375426626245,2559.5481242533842,-47.827302372860686,22.251291373457978,16.696413700739313,3.4358912,0.012719638,-503.71622,1788.86499161214,92.26329,0.0,180.77186920887385,37.843544,94.6606580968763,180.77186920887385,86.11121111199755,-10.078278,0
1858.7364861058602,0.043081313,3.5131434e-06,3487.56197295667,3508.233964561121,20.671991604450795,22.86124973965357,15.55417505021007,3.8386025,0.015113083,-446.44318,1858.7364861058602,91.452614,0.0,170.6259238017108,42.83147,65.40639132514966,170.6259238017108,105.21953247656114,-3.1295238,0
1970.6189423449557,0.04263095,-1.571354e-07,3313.0427819789415,3096.745366776685,-216.29741520225662,22.09038315343907,16.09155002969115,4.0126767,0.021132385,-470.29242,1970.6189423449557,97.68287,0.0,213.73702705379327,23.942787,72.99334582862124,213.73702705379327,140.74368122517203,-0.49114755,0
1637.2423521161113,0.035497334,5.265205e-06,3271.660808742556,2852.5461968587706,-419.1146118837855,23.01481346194957,15.63573741828321,3.5076523,0.013630834,-457.9903,1637.2423521161113,108.58944,0.0,197.13312122062953,34.562424,89.86534992826049,197.13312122062953,107.26777129236905,-9.587379,0
2104.0167406055057,0.048452348,-2.5335044e-06,3928.3220093643513,3630.730509338059,-297.5915000262921,21.164978199479762,15.772590234636986,3.8270729,0.023757413,-479.86014,2104.0167406055057,75.80515,0.0,191.5211239251473,28.087051,77.33375603922921,191.5211239251473,114.18736788591808,-2.4462442,0
1903.5442383962268,0.03428213,1.3355912e-06,3592.865675912211,3425.0590521011027,-167.80662381110824,22.168370762190612,15.482038391772756,3.8478408,0.022726957,-470.80298,1903.5442383962268,89.213806,0.0,186.06888929891866,32.11893,86.30425076864258,186.06888929891866,99.76463853027609,-7.575339,0
1680.9287876889866,0.029028216,2.8904577e-05,3140.6124927419837,3453.754780499185,313.1422877572013,22.325523333034777,15.551089403356448,3.7439673,0.013289478,-469.20486,1680.9287876889866,110.28809,0.0,162.92073075152206,31.137192,79.59980805922079,162.92073075152206,83.32092269230127,-3.8869214,0
1629.6382450220888,0.045437124,3.3851502e-06,3580.292809021458,3616.499658561658,36.20684954019998,23.846196298764237,15.50114925828103,3.7260022,0.015702123,-447.73065,1629.6382450220888,115.85257,0.0,195.99771799087463,34.075905,91.43616857570666,195.99771799087463,104.56154941516797,-4.414015,0
1728.4709273424764,0.034360204,1.4761891e-06,3257.4776872315506,3208.409181666535,-49.068505565015585,22.84206969497836,15.92632208733985,3.6248946,0.015404007,-464.7204,1728.4709273424764,107.42703,0.0,210.06515286029162,26.613129,81.93226047174862,210.06515286029162,128.13289238854298,-6.121635,0
1789.6319976386028,0.036611788,6.3243224e-06,3480.5389194910686,4512.512927113292,1031.9740076222233,22.680879169270156,16.15424805724227,3.6668034,0.018801104,-468.32275,1789.6319976386028,106.40113,0.0,181.8190699939266,31.850767,80.0609250563203,181.8190699939266,101.7581449376063,-6.1372433,0
